ds,yhat,yhat_lower,yhat_upper
1880-01-01,0.04029556184289332,-0.2732675411730386,0.3503879356391981
1881-01-01,0.08495597328135351,-0.23069286893057192,0.38793075385515435
1882-01-01,0.12949436173774143,-0.18843730144330662,0.4376648628033748
1883-01-01,0.1740327501941293,-0.12374236727354795,0.501378332498971
1884-01-01,0.21857113865051725,-0.0902780464852296,0.5275563731249325
1885-01-01,0.2632315501700927,-0.06855321217077183,0.5992495312728244
1886-01-01,0.30776993870737435,0.0010741476323802824,0.6299889187720601
1887-01-01,0.3523083272446559,0.032981059304055815,0.6632539285163516
1888-01-01,0.3968467157819374,0.11356728791730485,0.7386686550330004
1889-01-01,0.4415071276869723,0.12220616168365145,0.7508441467039698
1890-01-01,0.4860455166086599,0.17643828549361873,0.8146011120163109
1891-01-01,0.5305839055303477,0.21048291155927562,0.8342341940785619
1892-01-01,0.5751222944520354,0.25815324073821094,0.9032992949141796
1893-01-01,0.6197827063570703,0.3054418510476552,0.9093976278736471
1894-01-01,0.6643210948829443,0.3688626945639054,0.9721721301727474
1895-01-01,0.7088594834088185,0.36316005867187345,1.021255990649238
1896-01-01,0.7533978719346925,0.43860859011429537,1.0656192120564338
1897-01-01,0.7980582834428293,0.4963390744563005,1.108928913081791
1898-01-01,0.8425966696878016,0.5112577916919657,1.152253313789873
1899-01-01,0.8871350559327739,0.5697539141552855,1.1989378142321738
1900-01-01,0.9316734421777458,0.6081491705133517,1.2359654889127194
1901-01-01,0.9762118284227179,0.6578988584879855,1.2895668783171692
1902-01-01,1.0207502146351257,0.6961587892494792,1.334017243292945
1903-01-01,1.065288600847534,0.7405436799550942,1.388245140987269
1904-01-01,1.1098269870599418,0.7876695882247952,1.430442767311947
1905-01-01,1.1544873962482742,0.8657130751187706,1.4653445613524478
1906-01-01,1.199025782300743,0.8978989428726689,1.5149161910084121
1907-01-01,1.2435641693624047,0.9198270798797142,1.569953335290404
1908-01-01,1.2881025554148735,0.9513528792179211,1.5882388615804486
1909-01-01,1.3327629644428283,1.0138733339884765,1.6271113253371081
1910-01-01,1.3773013504952971,1.04663284114562,1.7220739579467843
1911-01-01,1.4218397365947155,1.0996579229583054,1.7387466179494098
1912-01-01,1.4663781226941341,1.1507693539976245,1.7880167138364884
1913-01-01,1.5110385317691675,1.1793819940326862,1.8452161328155106
1914-01-01,1.5555769178685863,1.2302693465704322,1.8752558277067017
1915-01-01,1.6001153039543745,1.2936432843103762,1.942930358349075
1916-01-01,1.6446536900401625,1.3186017361249995,1.9655808107350219
1917-01-01,1.6893140991015285,1.3796435381244052,1.9858177571765525
1918-01-01,1.733852485187317,1.4273139727417794,2.0439413920834184
1919-01-01,1.7783908717871066,1.4638963899902038,2.095020183222547
1920-01-01,1.822929258386896,1.5109963568210523,2.131660795611034
1921-01-01,1.867589667963671,1.568791545290822,2.173864515985033
1922-01-01,1.9121280545634602,1.6030819940575372,2.220029506699018
1923-01-01,1.9566664415476671,1.6445864950473512,2.2562991826464005
1924-01-01,2.0012048285318738,1.6822356514417358,2.312156028112004
1925-01-01,2.04586523849412,1.728428455484456,2.3501827221651914
1926-01-01,2.0904036254783267,1.7537576970723578,2.3747963901392737
1927-01-01,2.1349420124625333,1.8283139110026227,2.4621045201191567
1928-01-01,2.1815077679540185,1.8648216817438013,2.4912195541029685
1929-01-01,2.228201100857808,1.9026434190682115,2.5392891821993153
1930-01-01,2.274766856349293,1.9305034680734172,2.5920809179669493
1931-01-01,2.3213326118407775,2.0118563870573185,2.6521768175707536
1932-01-01,2.377509150106982,2.0629836689769765,2.700074316071232
1933-01-01,2.4338395966972035,2.1255942797253042,2.760538287625381
1934-01-01,2.4900161349634082,2.1319672367613753,2.7811189109859233
1935-01-01,2.5461926732296134,2.247301212508366,2.8519451837111083
1936-01-01,2.6106561665245174,2.296277324976205,2.9377444722069184
1937-01-01,2.6752962721298186,2.361613626330547,2.993075305001999
1938-01-01,2.7397597654247217,2.428663750300647,3.05183609981594
1939-01-01,2.8042232597287637,2.4890925823225523,3.133373567298821
1940-01-01,2.8713903185863607,2.5491063021011673,3.18424505712467
1941-01-01,2.938741396783295,2.6345313623913675,3.2437315660014034
1942-01-01,3.005908455640893,2.6988349992435756,3.3022618050816006
1943-01-01,3.0730755144984903,2.7393545609185725,3.406666557416734
1944-01-01,3.140242573356088,2.8262727505704928,3.4488984248924677
1945-01-01,3.207593651603917,2.893508457579981,3.5337351859825548
1946-01-01,3.2747607105122705,2.9680783062691294,3.590170939074077
1947-01-01,3.3419277694206233,3.0582506157193023,3.649836946088307
1948-01-01,3.4090948283289766,3.104804980939718,3.684787533451039
1949-01-01,3.476445906292525,3.181221798614508,3.7710369446164704
1950-01-01,3.543612964917374,3.225255730178526,3.850098955630183
1951-01-01,3.6107800235422234,3.290066014778016,3.9257664523680402
1952-01-01,3.6779470821670746,3.3669200922080798,3.9901032669816523
1953-01-01,3.7452981599728634,3.4457097857165464,4.059166938131801
1954-01-01,3.812465218440387,3.5184609699521854,4.122715344884398
1955-01-01,3.8796322769079095,3.5599579383678455,4.195746667897431
1956-01-01,3.9467993353754323,3.631223945764658,4.248933774443544
1957-01-01,4.014150413439007,3.7158976253719054,4.350675341980168
1958-01-01,4.081317472163612,3.7568220024765435,4.398611151259072
1959-01-01,4.148484530888215,3.833238048180496,4.467881198908251
1960-01-01,4.215651589612818,3.8993332296471945,4.549609496139437
1961-01-01,4.283002667676394,3.9469505574855077,4.609404948039873
1962-01-01,4.350169725786429,4.035425203207271,4.648171848223111
1963-01-01,4.417336783896467,4.106029704133534,4.748078308924411
1964-01-01,4.484503842006503,4.163830712525962,4.802257308305624
1965-01-01,4.551854919453827,4.205495882647557,4.85193732421402
1966-01-01,4.619021976631394,4.319260412937757,4.943165472364836
1967-01-01,4.686189033808962,4.36781617486251,5.003702167397502
1968-01-01,4.753356090986528,4.434917912965118,5.059856412914325
1969-01-01,4.820707167498828,4.503921585511248,5.143291867266082
1970-01-01,4.8878742251060485,4.584357704454774,5.213773258085118
1971-01-01,4.955041281704187,4.670776845611593,5.268686081032454
1972-01-01,5.022208338302326,4.726683996860268,5.332014842899613
1973-01-01,5.0895594142336105,4.774983699451254,5.396995350572364
1974-01-01,5.1567264708021385,4.84860524387276,5.4607714327385795
1975-01-01,5.223893527370667,4.885577260583291,5.538651340859949
1976-01-01,5.291060583939195,4.987488033319588,5.5997815924320475
1977-01-01,5.358411659840788,5.0424949864003406,5.668558225344578
1978-01-01,5.425578716409316,5.0845652111993465,5.746704297188491
1979-01-01,5.4927489378310455,5.178216226911706,5.8254106636885545
1980-01-01,5.559919159252775,5.2467452966137955,5.8786988464965
1981-01-01,5.627273408678399,5.321124697886873,5.942446664252229
